--------- beginning of /dev/log/system
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at android.app.Activity.startActivityForResult(Activity.java:3385)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at android.support.v4.app.FragmentActivity.startActivityForResult(FragmentActivity.java:748)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at android.app.Activity.startActivity(Activity.java:3627)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at android.app.Activity.startActivity(Activity.java:3595)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at com.boco.apphall.guangxi.mix.apps.manager.FriendShareMain$2.onItemClick(FriendShareMain.java:107)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at android.widget.AdapterView.performItemClick(AdapterView.java:299)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at android.widget.AbsListView.performItemClick(AbsListView.java:1113)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at android.widget.AbsListView$PerformClick.run(AbsListView.java:2904)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at android.widget.AbsListView$3.run(AbsListView.java:3638)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at android.os.Handler.handleCallback(Handler.java:733)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at android.os.Handler.dispatchMessage(Handler.java:95)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at android.os.Looper.loop(Looper.java:136)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at android.app.ActivityThread.main(ActivityThread.java:5019)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at java.lang.reflect.Method.invokeNative(Native Method)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at java.lang.reflect.Method.invoke(Method.java:515)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:779)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:595)
05-19 16:59:38.753 E/AndroidRuntime(20884): 	at dalvik.system.NativeStart.main(Native Method)
--------- beginning of /dev/log/main
05-19 17:16:38.100 E/appium  (24974): Element not found: 
05-19 17:16:38.100 E/appium  (24974): io.appium.uiautomator2.common.exceptions.ElementNotFoundException: Could not find an element using supplied strategy. 
05-19 17:16:38.100 E/appium  (24974): 	at io.appium.uiautomator2.handler.FindElement.getXPathUiObject(FindElement.java:80)
05-19 17:16:38.100 E/appium  (24974): 	at io.appium.uiautomator2.handler.FindElement.findElement(FindElement.java:153)
05-19 17:16:38.100 E/appium  (24974): 	at io.appium.uiautomator2.handler.FindElement.safeHandle(FindElement.java:102)
05-19 17:16:38.100 E/appium  (24974): 	at io.appium.uiautomator2.handler.request.SafeRequestHandler.handle(SafeRequestHandler.java:56)
05-19 17:16:38.100 E/appium  (24974): 	at io.appium.uiautomator2.server.AppiumServlet.handleRequest(AppiumServlet.java:202)
05-19 17:16:38.100 E/appium  (24974): 	at io.appium.uiautomator2.server.AppiumServlet.handleHttpRequest(AppiumServlet.java:193)
05-19 17:16:38.100 E/appium  (24974): 	at io.appium.uiautomator2.http.ServerHandler.channelRead(ServerHandler.java:44)
05-19 17:16:38.100 E/appium  (24974): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-19 17:16:38.100 E/appium  (24974): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-19 17:16:38.100 E/appium  (24974): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-19 17:16:38.100 E/appium  (24974): 	at io.netty.handler.codec.MessageToMessageDecoder.channelRead(MessageToMessageDecoder.java:102)
05-19 17:16:38.100 E/appium  (24974): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-19 17:16:38.100 E/appium  (24974): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-19 17:16:38.100 E/appium  (24974): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-19 17:16:38.100 E/appium  (24974): 	at io.netty.channel.CombinedChannelDuplexHandler$DelegatingChannelHandlerContext.fireChannelRead(CombinedChannelDuplexHandler.java:435)
05-19 17:16:38.100 E/appium  (24974): 	at io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ByteToMessageDecoder.java:293)
