--------- beginning of /dev/log/system
05-22 17:44:57.220 E/appium  ( 6871): 	at io.appium.uiautomator2.http.ServerHandler.channelRead(ServerHandler.java:44)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.handler.codec.MessageToMessageDecoder.channelRead(MessageToMessageDecoder.java:102)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.CombinedChannelDuplexHandler$DelegatingChannelHandlerContext.fireChannelRead(CombinedChannelDuplexHandler.java:435)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ByteToMessageDecoder.java:293)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:267)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.CombinedChannelDuplexHandler.channelRead(CombinedChannelDuplexHandler.java:250)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1294)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:911)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:131)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:611)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.nio.NioEventLoop.processSelectedKeysPlain(NioEventLoop.java:514)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:468)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:438)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.util.concurrent.SingleThreadEventExecutor$2.run(SingleThreadEventExecutor.java:140)
05-22 17:44:57.220 E/appium  ( 6871): 	at io.netty.util.concurrent.DefaultThreadFactory$DefaultRunnableDecorator.run(DefaultThreadFactory.java:144)
05-22 17:44:57.220 E/appium  ( 6871): 	at java.lang.Thread.run(Thread.java:841)
05-22 17:44:58.080 E/Cataloger( 1200): syncFile:/storage/emulated/0/appHall_guangxi_folder/download/1495446245344ZteAndrProjZq5.0.apk
05-22 17:44:58.890 E/QueryController( 6871): Got null root node from accessibility - Retrying...
05-22 17:45:02.370 E/InputDispatcher(  477): channel '4a9f2e2c com.ztesoft/com.ztesoft.manager.ui.MainLayout (server)' ~ Channel is unrecoverably broken and will be disposed!
05-22 17:45:02.370 E/InputDispatcher(  477): channel '4aa00ff4 com.ztesoft/com.ztesoft.res.activity.ProxyApplayMainActivity (server)' ~ Channel is unrecoverably broken and will be disposed!
05-22 17:45:02.380 E/Cataloger( 1200): syncFile:/storage/emulated/0/log/ztesoft_mobile.log
05-22 17:45:02.380 E/Cataloger( 1200): need not sync path:/storage/emulated/0/log/ztesoft_mobile.log
05-22 17:45:02.440 E/appium  ( 6871): Element not found: 
05-22 17:45:02.440 E/appium  ( 6871): io.appium.uiautomator2.common.exceptions.ElementNotFoundException: Could not find an element using supplied strategy. 
